Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,TransmissionType,Driven_Wheels,Number of Doors,Market Category,VehicleSize,VehicleStyle,highway MPG,city mpg,Popularity,MSRP
BMW,1 Series M,2011,premium unleaded (required),335,6,MANUAL,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,26,19,3916,46135
BMW,1 Series,2011,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,28,19,3916,40650
